"Cognition","Honesty","Communication","Rounds","Rep","Coop_Ewan","Payout"
"Mini","Free","Gossip",10,21,0.901,2.865
"Mini","Free","Gossip",10,22,0.891,2.757
"Mini","Free","Gossip",10,23,0.91,2.829
"Mini","Free","Gossip",10,24,0.888,2.771
"Mini","Free","Gossip",10,25,0.923,2.89
"Mini","Free","Gossip",10,26,0.925,2.911
"Mini","Free","Gossip",10,27,0.914,2.865
"Mini","Free","Gossip",10,28,0.896,2.819
"Mini","Free","Gossip",10,29,0.894,2.826
"Mini","Free","Gossip",10,30,0.884,2.745
"Mini","Free","None",1,1,0.86,2.7
"Mini","Free","None",1,2,0.88,2.7
"Mini","Free","None",1,3,0.89,2.86
"Mini","Free","None",1,4,0.93,2.94
"Mini","Free","None",1,5,0.82,2.54
"Mini","Free","None",1,6,0.87,2.62
"Mini","Free","None",1,7,0.87,2.86
"Mini","Free","None",1,8,0.83,2.58
"Mini","Free","None",1,9,0.79,2.46
"Mini","Free","None",1,10,0.85,2.62
"Mini","Free","None",1,11,0.89,2.78
"Mini","Free","None",1,12,0.92,2.96
"Mini","Free","None",1,13,0.91,2.68
"Mini","Free","None",1,14,0.91,2.88
"Mini","Free","None",1,15,0.92,2.9
"Mini","Free","None",1,16,0.88,2.76
"Mini","Free","None",1,17,0.91,2.98
"Mini","Free","None",1,18,0.9,2.84
"Mini","Free","None",1,19,0.86,2.8
"Mini","Free","None",1,20,0.91,2.92
"Mini","Free","None",1,21,0.93,2.86
"Mini","Free","None",1,22,0.89,2.7
"Mini","Free","None",1,23,0.93,2.98
"Mini","Free","None",1,24,0.87,2.7
"Mini","Free","None",1,25,0.9,2.92
"Mini","Free","None",1,26,0.86,2.56
"Mini","Free","None",1,27,0.89,2.82
"Mini","Free","None",1,28,0.86,2.68
"Mini","Free","None",1,29,0.92,2.86
"Mini","Free","None",1,30,0.86,2.74
"Mini","Free","None",2,1,0.915,2.84
"Mini","Free","None",2,2,0.915,2.815
"Mini","Free","None",2,3,0.865,2.765
"Mini","Free","None",2,4,0.925,2.96
"Mini","Free","None",2,5,0.9,2.74
"Mini","Free","None",2,6,0.91,2.855
"Mini","Free","None",2,7,0.9,2.84
"Mini","Free","None",2,8,0.935,2.98
"Mini","Free","None",2,9,0.87,2.715
"Mini","Free","None",2,10,0.85,2.64
"Mini","Free","None",2,11,0.85,2.755
"Mini","Free","None",2,12,0.955,3.045
"Mini","Free","None",2,13,0.845,2.695
"Mini","Free","None",2,14,0.905,2.765
"Mini","Free","None",2,15,0.935,2.915
"Mini","Free","None",2,16,0.925,2.95
"Mini","Free","None",2,17,0.935,2.915
"Mini","Free","None",2,18,0.945,3.02
"Mini","Free","None",2,19,0.905,2.88
"Mini","Free","None",2,20,0.91,2.885
"Mini","Free","None",2,21,0.92,2.79
"Mini","Free","None",2,22,0.905,2.715
"Mini","Free","None",2,23,0.925,2.78
"Mini","Free","None",2,24,0.915,2.845
"Mini","Free","None",2,25,0.89,2.795
"Mini","Free","None",2,26,0.915,2.83
"Mini","Free","None",2,27,0.925,2.92
"Mini","Free","None",2,28,0.9,2.78
"Mini","Free","None",2,29,0.935,3.005
"Mini","Free","None",2,30,0.945,3.03
"Mini","Free","None",3,1,0.903333333333333,2.88
"Mini","Free","None",3,2,0.916666666666667,2.97
"Mini","Free","None",3,3,0.92,2.82333333333333
"Mini","Free","None",3,4,0.843333333333333,2.67666666666667
"Mini","Free","None",3,5,0.886666666666667,2.77666666666667
"Mini","Free","None",3,6,0.883333333333333,2.77
"Mini","Free","None",3,7,0.9,2.85
"Mini","Free","None",3,8,0.906666666666667,2.86
"Mini","Free","None",3,9,0.903333333333333,2.79666666666667
"Mini","Free","None",3,10,0.896666666666667,2.87
"Mini","Free","None",3,11,0.933333333333333,2.82333333333333
"Mini","Free","None",3,12,0.886666666666667,2.70666666666667
"Mini","Free","None",3,13,0.92,2.91
"Mini","Free","None",3,14,0.84,2.60666666666667
"Mini","Free","None",3,15,0.88,2.77333333333333
"Mini","Free","None",3,16,0.9,2.79333333333333
"Mini","Free","None",3,17,0.95,2.97333333333333
"Mini","Free","None",3,18,0.933333333333333,2.99333333333333
"Mini","Free","None",3,19,0.943333333333333,3.04
"Mini","Free","None",3,20,0.91,2.90666666666667
"Mini","Free","None",3,21,0.88,2.76
"Mini","Free","None",3,22,0.833333333333333,2.47
"Mini","Free","None",3,23,0.913333333333333,2.79
"Mini","Free","None",3,24,0.863333333333333,2.71
"Mini","Free","None",3,25,0.863333333333333,2.7
"Mini","Free","None",3,26,0.946666666666667,2.92666666666667
"Mini","Free","None",3,27,0.876666666666667,2.82
"Mini","Free","None",3,28,0.88,2.84333333333333
"Mini","Free","None",3,29,0.91,2.78666666666667
"Mini","Free","None",3,30,0.83,2.65
"Mini","Free","None",4,1,0.91,2.88
"Mini","Free","None",4,2,0.915,2.895
"Mini","Free","None",4,3,0.88,2.7775
"Mini","Free","None",4,4,0.9075,2.8475
"Mini","Free","None",4,5,0.8725,2.6475
"Mini","Free","None",4,6,0.92,2.795
"Mini","Free","None",4,7,0.945,2.93
"Mini","Free","None",4,8,0.9225,3.0225
"Mini","Free","None",4,9,0.9125,2.8125
"Mini","Free","None",4,10,0.95,2.93
"Mini","Free","None",4,11,0.925,2.955
"Mini","Free","None",4,12,0.8925,2.7375
"Mini","Free","None",4,13,0.89,2.7525
"Mini","Free","None",4,14,0.9375,2.8975
"Mini","Free","None",4,15,0.89,2.7575
"Mini","Free","None",4,16,0.91,2.825
"Mini","Free","None",4,17,0.9325,2.9075
"Mini","Free","None",4,18,0.9325,2.9025
"Mini","Free","None",4,19,0.93,2.9225
"Mini","Free","None",4,20,0.9325,2.8575
"Mini","Free","None",4,21,0.915,2.8525
"Mini","Free","None",4,22,0.885,2.77
"Mini","Free","None",4,23,0.8925,2.75
"Mini","Free","None",4,24,0.865,2.73
"Mini","Free","None",4,25,0.865,2.64
"Mini","Free","None",4,26,0.8825,2.7075
"Mini","Free","None",4,27,0.8925,2.74
"Mini","Free","None",4,28,0.9,2.8175
"Mini","Free","None",4,29,0.8775,2.7325
"Mini","Free","None",4,30,0.935,2.98
"Mini","Free","None",5,1,0.934,2.882
"Mini","Free","None",5,2,0.916,2.836
"Mini","Free","None",5,3,0.912,2.792
"Mini","Free","None",5,4,0.866,2.714
"Mini","Free","None",5,5,0.874,2.788
"Mini","Free","None",5,6,0.878,2.738
"Mini","Free","None",5,7,0.898,2.754
"Mini","Free","None",5,8,0.916,2.854
"Mini","Free","None",5,9,0.924,2.826
"Mini","Free","None",5,10,0.904,2.876
"Mini","Free","None",5,11,0.918,2.796
"Mini","Free","None",5,12,0.868,2.68
"Mini","Free","None",5,13,0.908,2.826
"Mini","Free","None",5,14,0.926,2.868
"Mini","Free","None",5,15,0.894,2.8
"Mini","Free","None",5,16,0.892,2.778
"Mini","Free","None",5,17,0.916,2.86
"Mini","Free","None",5,18,0.9,2.78
"Mini","Free","None",5,19,0.892,2.802
"Mini","Free","None",5,20,0.914,2.89
"Mini","Free","None",5,21,0.896,2.77
"Mini","Free","None",5,22,0.86,2.658
"Mini","Free","None",5,23,0.904,2.85
"Mini","Free","None",5,24,0.858,2.65
"Mini","Free","None",5,25,0.9,2.828
"Mini","Free","None",5,26,0.896,2.82
"Mini","Free","None",5,27,0.908,2.83
"Mini","Free","None",5,28,0.92,2.836
"Mini","Free","None",5,29,0.93,2.97
"Mini","Free","None",5,30,0.888,2.758
"Mini","Free","None",6,1,0.923333333333333,2.86
"Mini","Free","None",6,2,0.86,2.68
"Mini","Free","None",6,3,0.921666666666667,2.885
"Mini","Free","None",6,4,0.906666666666667,2.77166666666667
"Mini","Free","None",6,5,0.891666666666667,2.80333333333333
"Mini","Free","None",6,6,0.926666666666667,2.91833333333333
"Mini","Free","None",6,7,0.886666666666667,2.74
"Mini","Free","None",6,8,0.9,2.84
"Mini","Free","None",6,9,0.911666666666667,2.84333333333333
"Mini","Free","None",6,10,0.92,2.94
"Mini","Free","None",6,11,0.878333333333333,2.715
"Mini","Free","None",6,12,0.881666666666667,2.70666666666667
"Mini","Free","None",6,13,0.911666666666667,2.88
"Mini","Free","None",6,14,0.893333333333333,2.75833333333333
"Mini","Free","None",6,15,0.936666666666667,2.88
"Mini","Free","None",6,16,0.913333333333333,2.76166666666667
"Mini","Free","None",6,17,0.918333333333333,2.80166666666667
"Mini","Free","None",6,18,0.92,2.875
"Mini","Free","None",6,19,0.913333333333333,2.81333333333333
"Mini","Free","None",6,20,0.928333333333333,2.85833333333333
"Mini","Free","None",6,21,0.9,2.83166666666667
"Mini","Free","None",6,22,0.925,2.88
"Mini","Free","None",6,23,0.925,2.84166666666667
"Mini","Free","None",6,24,0.928333333333333,2.865
"Mini","Free","None",6,25,0.908333333333333,2.785
"Mini","Free","None",6,26,0.903333333333333,2.87166666666667
"Mini","Free","None",6,27,0.911666666666667,2.885
"Mini","Free","None",6,28,0.885,2.81
"Mini","Free","None",6,29,0.881666666666667,2.74
"Mini","Free","None",6,30,0.908333333333333,2.87833333333333
"Mini","Free","None",7,1,0.917142857142857,2.81857142857143
"Mini","Free","None",7,2,0.917142857142857,2.85714285714286
"Mini","Free","None",7,3,0.898571428571429,2.78714285714286
"Mini","Free","None",7,4,0.885714285714286,2.82857142857143
"Mini","Free","None",7,5,0.894285714285714,2.76142857142857
"Mini","Free","None",7,6,0.874285714285714,2.65857142857143
"Mini","Free","None",7,7,0.9,2.77142857142857
"Mini","Free","None",7,8,0.934285714285714,2.9
"Mini","Free","None",7,9,0.924285714285714,2.92
"Mini","Free","None",7,10,0.897142857142857,2.82428571428571
"Mini","Free","None",7,11,0.904285714285714,2.88285714285714
"Mini","Free","None",7,12,0.874285714285714,2.72857142857143
"Mini","Free","None",7,13,0.912857142857143,2.80142857142857
"Mini","Free","None",7,14,0.91,2.80428571428571
"Mini","Free","None",7,15,0.877142857142857,2.77571428571429
"Mini","Free","None",7,16,0.911428571428572,2.81428571428571
"Mini","Free","None",7,17,0.901428571428572,2.80857142857143
"Mini","Free","None",7,18,0.887142857142857,2.78285714285714
"Mini","Free","None",7,19,0.9,2.87
"Mini","Free","None",7,20,0.895714285714286,2.78285714285714
"Mini","Free","None",7,21,0.915714285714286,2.88857142857143
"Mini","Free","None",7,22,0.922857142857143,2.87571428571429
"Mini","Free","None",7,23,0.915714285714286,2.83714285714286
"Mini","Free","None",7,24,0.894285714285714,2.78571428571429
"Mini","Free","None",7,25,0.888571428571429,2.81142857142857
"Mini","Free","None",7,26,0.902857142857143,2.77857142857143
"Mini","Free","None",7,27,0.88,2.76142857142857
"Mini","Free","None",7,28,0.902857142857143,2.87857142857143
"Mini","Free","None",7,29,0.918571428571429,2.85285714285714
"Mini","Free","None",7,30,0.877142857142857,2.67714285714286
"Mini","Free","None",8,1,0.9275,2.9075
"Mini","Free","None",8,2,0.89125,2.81125
"Mini","Free","None",8,3,0.90125,2.845
"Mini","Free","None",8,4,0.89,2.70625
"Mini","Free","None",8,5,0.905,2.83
"Mini","Free","None",8,6,0.8875,2.765
"Mini","Free","None",8,7,0.90125,2.82
"Mini","Free","None",8,8,0.88375,2.7675
"Mini","Free","None",8,9,0.89875,2.80625
"Mini","Free","None",8,10,0.90625,2.80625
"Mini","Free","None",8,11,0.9,2.795
"Mini","Free","None",8,12,0.89125,2.795
"Mini","Free","None",8,13,0.90625,2.8225
"Mini","Free","None",8,14,0.935,2.92
"Mini","Free","None",8,15,0.90875,2.84
"Mini","Free","None",8,16,0.92,2.8625
"Mini","Free","None",8,17,0.90375,2.7875
"Mini","Free","None",8,18,0.89125,2.80375
"Mini","Free","None",8,19,0.905,2.80375
"Mini","Free","None",8,20,0.915,2.78375
"Mini","Free","None",8,21,0.9,2.81625
"Mini","Free","None",8,22,0.8575,2.695
"Mini","Free","None",8,23,0.92,2.8
"Mini","Free","None",8,24,0.9,2.80875
"Mini","Free","None",8,25,0.91375,2.8225
"Mini","Free","None",8,26,0.89125,2.77125
"Mini","Free","None",8,27,0.89125,2.7775
"Mini","Free","None",8,28,0.885,2.7775
"Mini","Free","None",8,29,0.91875,2.81125
"Mini","Free","None",8,30,0.8875,2.78625
"Mini","Free","None",9,1,0.908888888888889,2.82
"Mini","Free","None",9,2,0.895555555555556,2.86
"Mini","Free","None",9,3,0.905555555555556,2.80444444444444
"Mini","Free","None",9,4,0.913333333333333,2.89777777777778
"Mini","Free","None",9,5,0.875555555555556,2.79888888888889
"Mini","Free","None",9,6,0.894444444444444,2.79555555555556
"Mini","Free","None",9,7,0.914444444444444,2.83222222222222
"Mini","Free","None",9,8,0.897777777777778,2.84111111111111
"Mini","Free","None",9,9,0.928888888888889,2.92666666666667
"Mini","Free","None",9,10,0.928888888888889,2.87888888888889
"Mini","Free","None",9,11,0.905555555555556,2.86666666666667
"Mini","Free","None",9,12,0.922222222222222,2.85777777777778
"Mini","Free","None",9,13,0.907777777777778,2.82222222222222
"Mini","Free","None",9,14,0.911111111111111,2.80444444444444
"Mini","Free","None",9,15,0.908888888888889,2.89333333333333
"Mini","Free","None",9,16,0.927777777777778,2.90333333333333
"Mini","Free","None",9,17,0.911111111111111,2.85888888888889
"Mini","Free","None",9,18,0.917777777777778,2.89888888888889
"Mini","Free","None",9,19,0.912222222222222,2.91111111111111
"Mini","Free","None",9,20,0.883333333333333,2.76777777777778
"Mini","Free","None",9,21,0.894444444444444,2.81555555555556
"Mini","Free","None",9,22,0.877777777777778,2.75
"Mini","Free","None",9,23,0.865555555555556,2.71888888888889
"Mini","Free","None",9,24,0.91,2.81666666666667
"Mini","Free","None",9,25,0.904444444444444,2.74222222222222
"Mini","Free","None",9,26,0.893333333333333,2.82888888888889
"Mini","Free","None",9,27,0.891111111111111,2.77111111111111
"Mini","Free","None",9,28,0.881111111111111,2.69222222222222
"Mini","Free","None",9,29,0.896666666666667,2.84
"Mini","Free","None",9,30,0.901111111111111,2.83777777777778
"Mini","Free","None",10,1,0.926,2.916
"Mini","Free","None",10,2,0.916,2.829
"Mini","Free","None",10,3,0.894,2.799
"Mini","Free","None",10,4,0.917,2.84
"Mini","Free","None",10,5,0.905,2.771
"Mini","Free","None",10,6,0.913,2.779
"Mini","Free","None",10,7,0.888,2.734
"Mini","Free","None",10,8,0.896,2.765
"Mini","Free","None",10,9,0.893,2.769
"Mini","Free","None",10,10,0.889,2.761
"Mini","Free","None",10,11,0.895,2.819
"Mini","Free","None",10,12,0.901,2.84
"Mini","Free","None",10,13,0.897,2.817
"Mini","Free","None",10,14,0.902,2.855
"Mini","Free","None",10,15,0.912,2.792
"Mini","Free","None",10,16,0.913,2.818
"Mini","Free","None",10,17,0.884,2.754
"Mini","Free","None",10,18,0.893,2.785
"Mini","Free","None",10,19,0.915,2.844
"Mini","Free","None",10,20,0.898,2.788
"Mini","Free","None",10,21,0.901,2.818
"Mini","Free","None",10,22,0.875,2.734
"Mini","Free","None",10,23,0.885,2.75
"Mini","Free","None",10,24,0.915,2.889
"Mini","Free","None",10,25,0.899,2.839
"Mini","Free","None",10,26,0.866,2.736
"Mini","Free","None",10,27,0.898,2.8
"Mini","Free","None",10,28,0.912,2.862
"Mini","Free","None",10,29,0.912,2.902
"Mini","Free","None",10,30,0.902,2.871
